[(113.91542448372189, 22.543428153628643), (113.92347489812052, 22.542972731074627), (113.92365171439862, 22.546098277445985), (113.91560129999999, 22.546553699999997), (113.91542448372189, 22.543428153628643), 182.10000000000002, (113.91953809906025, 22.54476321553732), 348.0, 828.0, 1832.479, 10]
[(113.9153875116301, 22.543456099411245), (113.92232740931301, 22.542989488569702), (113.9225393976829, 22.546142389158458), (113.91559949999998, 22.546608999999997), (113.9153875116301, 22.543456099411245), 182.10000000000002, (113.91896345465652, 22.544799244284857), 351.0, 715.0, 1689.762, 11]
[(113.92251457982034, 22.54769020958851), (113.92255188412017, 22.54425456466885), (113.92459049999998, 22.544276699999998), (113.92455319570016, 22.547712344919656), (113.92251457982034, 22.54769020958851), 89.19999999999999, (113.92355253991013, 22.54598345479425), 382.0, 209.0, 949.973, 12]
[(113.92462921242623, 22.543541578966238), (113.9244801288054, 22.54931277158214), (113.92065074808788, 22.549213849577477), (113.9207998317087, 22.543442656961574), (113.92462921242623, 22.543541578966238), 266.70000000000005, (113.92263998025706, 22.54637771427186), 642.0, 393.0, 1527.725, 13]
[(113.92461778969273, 22.54345870382042), (113.92450150325519, 22.54923258698845), (113.92065409999998, 22.5491551), (113.92077038643752, 22.54338121683197), (113.92461778969273, 22.54345870382042), 266.70000000000005, (113.92263594484635, 22.546306901910206), 642.0, 395.0, 1559.6009999999999, 14]
[(113.93393120296679, 22.57808205352218), (113.9341781938746, 22.56408335336176), (113.9436799, 22.564251000000002), (113.9434329090922, 22.578249700160423), (113.93393120296679, 22.57808205352218), 89.10000000000002, (113.9388055514834, 22.57116652676109), 1557.0, 976.0, 3909.1409999999996, 15]
[(113.92256880834269, 22.547690892525374), (113.92260611366437, 22.544255153494305), (113.92459049999998, 22.544276699999998), (113.9245531946783, 22.54771243903107), (113.92256880834269, 22.547690892525374), 89.19999999999999, (113.92357965417135, 22.54598379626269), 382.0, 204.0, 975.056, 16]
[(113.91545343425926, 22.5434065364529), (113.92286639333163, 22.54304997607375), (113.92301565907236, 22.54615323962085), (113.9156027, 22.5465098), (113.91545343425926, 22.5434065364529), 182.10000000000002, (113.91923454666582, 22.544779888036878), 345.0, 762.0, 1758.3390000000002, 17]
[(113.91542448372189, 22.543428153628643), (113.92337544303732, 22.54297835737978), (113.92355225931541, 22.546103903751135), (113.91560129999999, 22.546553699999997), (113.91542448372189, 22.543428153628643), 182.10000000000002, (113.91948837151867, 22.544766028689892), 348.0, 818.0, 1822.244, 18]
[(113.91523036790781, 22.54355916420463), (113.9232431151552, 22.54273330276529), (113.92357694724741, 22.545972238560662), (113.91556420000002, 22.546798100000004), (113.91523036790781, 22.54355916420463), 182.10000000000002, (113.91940365757762, 22.544765701382648), 362.0, 828.0, 1867.256, 19]
